,book title,ratings,avg_score,author,score,votes
4009,The Husband She'd Never Met,69,3.62,Barbara Hannay,"87,",1
4010,"Desperate Measures (Wicked Villains, #1)","60,446",3.53,Katee Robert,"87,",2
4011,Love Quest,"2,771",3.72,Camilla Isley,"87,",1
4012,The Favored Cowboy (Noble Ranch #2),303,4.48,Jody Hedlund,"87,",1
4013,"Kitty and the Midnight Hour (Kitty Norville, #1)","33,864",3.69,Carrie Vaughn,"86,",1
4014,Fourteen,401,3.68,C.M.  Smith,"86,",1
4015,"Fate's Edge (The Edge, #3)","22,863",4.12,Ilona Andrews,"86,",1
4016,Sunshine and Shadow,271,4.13,Sharon Curtis,"86,",1
4017,A French Affair,"1,691",4.05,Susan    Lewis,"86,",1
4018,The One That I Want,"8,843",3.73,Jennifer Echols,"86,",1
4019,Forever,58,4.22,Mildred Cram,"86,",1
4020,Love Left Behind,avg,really,S.H. Kolee,"86,",1
4021,Melt,138,3.53,Natalie Anderson,"86,",1
4022,The Walsingham Woman,18,4.06,Jan Westcott,"86,",1
4023,Suite Dreams,"3,328",3.82,Rachel Hawthorne,"86,",1
4024,"Persuade Me (Darcy & Friends, #2)",801,3.73,Juliet Archer,"86,",1
4025,The Color of Grace,412,3.75,Linda Kage,"86,",1
4026,"The Secret Trinity: Unearth (Fae-Witch, #1)","1,470",3.96,Jenna Bernel,"86,",1
4027,In Too Deep,2,2.50,Gwennan Thomas,"86,",1
4028,"Morgan's Hunter (The Bodyguards Of L.A. County, #1)","2,305",4.10,Cate Beauman,"86,",1
4029,"The Guardian (The Guardians, #1)","2,233",3.79,Katie Klein,"86,",1
4030,"Seven Sons (Gypsy Brothers, #1)","16,898",3.94,Lili St. Germain,"86,",1
4031,The Man in the Brown Suit,"125,942",3.95,Agatha Christie,"86,",1
4032,"Eye of the Storm (Security Specialists International, #1)","1,894",3.99,Monette Michaels,"86,",1
4033,"Wildwood Dancing (Wildwood, #1)","32,492",4.10,Juliet Marillier,"86,",1
